dataset,pri_payer,payer
MDCR,mdcr,na
MDCR,mdcr,mdcr
MDCR,mdcr,oop
MDCR,mdcr_mc,na
MDCR,mdcr_mdcd,na
MDCR,mdcr_mc_mdcd,na
MDCD,mdcd,na
MDCD,mdcd,mdcd
MDCD,mdcd,oop
MDCD,mdcd_mc,na
MDCD,mdcr_mdcd,mdcd
MDCD,mdcr_mdcd,oop
HCCI,priv,na
HCCI,priv,priv
HCCI,priv,oop
HCCI,mdcr_priv,na
HCCI,mdcr_priv,priv
HCCI,mdcr_priv,oop
MSCAN,priv,na
MSCAN,priv,priv
MSCAN,priv,oop
MSCAN,mdcr_priv,na
MSCAN,mdcr_priv,priv
MSCAN,mdcr_priv,oop
KYTHERA,priv,na
KYTHERA,priv,priv
KYTHERA,mdcr_priv,na
KYTHERA,mdcr_priv,priv
MEPS,oop,na
MEPS,oop,oop
MEPS,mdcr_priv,na
MEPS,mdcr_priv,oop
SIDS,priv,na
SIDS,priv,priv
SIDS,priv,oop
SIDS,oop,na
SIDS,oop,oop
SIDS,mdcr,mdcr
SIDS,mdcr,oop
SIDS,mdcr_mdcd,mdcd
SIDS,mdcr_priv,na
SIDS,mdcr_priv,priv
SIDS,mdcd,mdcd
SIDS,mdcd,oop
SEDD,priv,na
SEDD,priv,priv
SEDD,priv,oop
SEDD,oop,na
SEDD,oop,oop
SEDD,mdcr,mdcr
SEDD,mdcr,oop
SEDD,mdcr_mdcd,mdcd
SEDD,mdcr_priv,na
SEDD,mdcr_priv,priv
SEDD,mdcd,mdcd
SEDD,mdcd,oop
NIS,priv,na
NIS,priv,priv
NIS,priv,oop
NIS,oop,na
NIS,oop,oop
NIS,mdcr,mdcr
NIS,mdcr,oop
NIS,mdcr_mdcd,mdcd
NIS,mdcr_priv,na
NIS,mdcr_priv,priv
NIS,mdcd,mdcd
NIS,mdcd,oop
NEDS,priv,na
NEDS,priv,priv
NEDS,priv,oop
NEDS,oop,na
NEDS,oop,oop
NEDS,mdcr,mdcr
NEDS,mdcr,oop
NEDS,mdcr_mdcd,mdcd
NEDS,mdcr_priv,na
NEDS,mdcr_priv,priv
NEDS,mdcd,mdcd
NEDS,mdcd,oop
